"Case","JourneyCode","HolidayType","Price","NumberOfPersons","Region","Transportation","Duration","Season","Accommodation","Hotel"
"Journey35","35.0","Active","1718.0","2.0","Bulgaria","Plane","14.0","June","ThreeStars","Hotel Nessebar, Sunny Beach"
"Journey36","36.0","Bathing","1383.0","3.0","Bulgaria","Plane","7.0","August","ThreeStars","Hotel Gergana, Albena"
"Journey37","37.0","Bathing","3628.0","4.0","Bulgaria","Plane","21.0","August","ThreeStars","Hotel Orlav, Albena"
"Journey38","38.0","Active","2739.0","3.0","Bulgaria","Plane","14.0","July","FourStars","Hotel Burgas, Sunny Beach"
"Journey39","39.0","Bathing","2399.0","2.0","Bulgaria","Plane","14.0","September","FourStars","Grandhotel Varna, Albena"
"Journey40","40.0","Bathing","2273.0","3.0","Bornholm","Car","14.0","August","HolidayFlat","H.Flat Bornholm"
"Journey41","41.0","Bathing","1729.0","5.0","Bornholm","Car","7.0","July","HolidayFlat","H.Flat Bornholm"
"Journey42","42.0","Bathing","1389.0","4.0","Bornholm","Car","7.0","July","HolidayFlat","H.Flat Bornholm"
"Journey43","43.0","Recreation","968.0","6.0","Bornholm","Car","14.0","April","HolidayFlat","H.Flat Bornholm"
"Journey44","44.0","Recreation","489.0","6.0","Bornholm","Car","7.0","May","HolidayFlat","H.Flat Bornholm"
"Journey45","45.0","Recreation","489.0","6.0","Bornholm","Car","7.0","September","HolidayFlat","H.Flat Bornholm"
"Journey46","46.0","Bathing","2838.0","4.0","Fano","Car","14.0","July","HolidayFlat","H.Flat Fano"
"Journey47","47.0","Bathing","1399.0","6.0","Fano","Car","7.0","August","HolidayFlat","H.Flat Fano"
"Journey48","48.0","Recreation","958.0","6.0","Fano","Car","14.0","September","HolidayFlat","H.Flat Fano"
"Journey49","49.0","Recreation","579.0","3.0","Fano","Car","7.0","June","HolidayFlat","H.Flat Romo"
"Journey50","50.0","Recreation","789.0","5.0","Fano","Car","7.0","May","HolidayFlat","H.Flat Romo"
"Journey51","51.0","Recreation","2839.0","10.0","Fano","Car","7.0","July","HolidayFlat","H.Flat Romo"
"Journey52","52.0","Bathing","629.0","6.0","Lolland","Car","7.0","August","HolidayFlat","H.Flat Lolland"
"Journey53","53.0","Bathing","1598.0","4.0","Lolland","Car","14.0","July","HolidayFlat","H.Flat Lolland"
"Journey54","54.0","Recreation","429.0","8.0","Lolland","Car","7.0","September","HolidayFlat","H.Flat Lolland"
"Journey55","55.0","Recreation","648.0","2.0","Allgaeu","Car","7.0","June","TwoStars","Gasthaus Meier, Allgaeu"
"Journey56","56.0","Wandering","972.0","4.0","Allgaeu","Car","7.0","July","TwoStars","Gasthaus Alpenland, Allgaeu"
"Journey57","57.0","Recreation","1060.0","3.0","Allgaeu","Car","7.0","August","ThreeStars","Hotel Alpspitz, Allgaeu"
"Journey58","58.0","Wandering","2110.0","3.0","Allgaeu","Train","14.0","July","ThreeStars","Hotel Alpspitz, Allgaeu"
"Journey59","59.0","Active","1835.0","2.0","Allgaeu","Car","14.0","June","FiveStars","Hofgut Kuernach, Allgaeu"
"Journey60","60.0","Wandering","951.0","2.0","Allgaeu","Car","7.0","September","FiveStars","Hofgut Kuernach, Allgaeu"
"Journey61","61.0","Recreation","794.0","4.0","Allgaeu","Train","7.0","August","HolidayFlat","H.Flat, Allgaeu"
"Journey62","62.0","Active","814.0","6.0","Allgaeu","Car","7.0","July","HolidayFlat","H.Flat, Allgaeu"
"Journey63","63.0","Wandering","1568.0","4.0","Allgaeu","Car","14.0","June","HolidayFlat","H.Flat, Allgaeu"
"Journey64","64.0","Wandering","644.0","4.0","Allgaeu","Car","7.0","July","HolidayFlat","H.Flat, Allgaeu"
"Journey65","65.0","Recreation","648.0","2.0","Alps","Car","7.0","June","TwoStars","Pension Blueml, Upper Bavaria"
"Journey66","66.0","Wandering","2232.0","3.0","Alps","Car","14.0","July","TwoStars","Pension Blueml, Upper Bavaria"
"Journey67","67.0","Recreation","2082.0","4.0","Alps","Car","7.0","August","ThreeStars","Hotel Chiemgauer Hof, Upper Bavaria"
"Journey68","68.0","Recreation","5185.0","3.0","Alps","Car","21.0","June","ThreeStars","Hotel Chiemgauer Hof, Upper Bavaria"
"Journey69","69.0","Active","2368.0","2.0","Alps","Train","14.0","September","ThreeStars","Hotel Chiemgauer Hof, Upper Bavaria"
"Journey70","70.0","Recreation","3758.0","2.0","Alps","Car","21.0","July","FourStars","Hotel Zur Post, Upper Bavaria"
"Journey71","71.0","Recreation","3135.0","3.0","Alps","Car","14.0","August","FourStars","Hotel Zur Post, Upper Bavaria"
"Journey72","72.0","Wandering","3762.0","4.0","Alps","Car","14.0","July","FourStars","Hotel Zur Post, Upper Bavaria"
"Journey73","73.0","Recreation","1254.0","4.0","Alps","Car","7.0","June","HolidayFlat","H.Flat Upper Bavaria"
"Journey74","74.0","Recreation","814.0","6.0","Alps","Train","7.0","August","HolidayFlat","H.Flat Upper Bavaria"
"Journey75","75.0","Recreation","1361.0","2.0","Bavaria","Car","14.0","September","HolidayFlat","H.Flat Upper Bavaria"
"Journey76","76.0","Recreation","1618.0","4.0","Bavaria","Car","14.0","May","HolidayFlat","H.Flat Upper Bavaria"
"Journey77","77.0","Recreation","1728.0","2.0","Bavaria","Train","14.0","July","HolidayFlat","H.Flat Upper Bavaria"
"Journey78","78.0","Wandering","609.0","3.0","Bavaria","Car","7.0","June","HolidayFlat","H.Flat Upper Bavaria"
"Journey79","79.0","Wandering","1069.0","6.0","Bavaria","Car","7.0","August","HolidayFlat","H.Flat Upper Bavaria"
"Journey80","80.0","Wandering","684.0","4.0","Bavaria","Car","7.0","September","HolidayFlat","H.Flat Upper Bavaria"
"Journey81","81.0","Active","1328.0","4.0","Bavaria","Train","14.0","May","HolidayFlat","H.Flat Upper Bavaria"
"Journey82","82.0","Active","779.0","2.0","Bavaria","Car","7.0","June","HolidayFlat","H.Flat Upper Bavaria"
"Journey83","83.0","Active","1639.0","5.0","Bavaria","Car","7.0","July","HolidayFlat","H.Flat Upper Bavaria"
"Journey84","84.0","Wandering","944.0","8.0","Bavaria","Car","7.0","August","HolidayFlat","H.Flat Upper Bavaria"
"Journey85","85.0","Wandering","758.0","2.0","ErzGebirge","Car","7.0","June","TwoStars","Wolfsgruener Schloss, Erz Gebirge"
"Journey86","86.0","Wandering","758.0","3.0","ErzGebirge","Car","7.0","July","TwoStars","Wolfsgruener Schloss, Erz Gebirge"
"Journey87","87.0","Recreation","1885.0","4.0","ErzGebirge","Car","14.0","August","TwoStars","Wolfsgruener Schloss, Erz Gebirge"
"Journey88","88.0","Recreation","758.0","3.0","ErzGebirge","Car","7.0","September","TwoStars","Wolfsgruener Schloss, Erz Gebirge"
"Journey89","89.0","Wandering","1828.0","2.0","ErzGebirge","Car","14.0","May","ThreeStars","Hotel Am Fichtelberg, Erz Gebirge"
"Journey90","90.0","Wandering","918.0","2.0","ErzGebirge","Train","7.0","July","ThreeStars","Hotel Am Fichtelberg, Erz Gebirge"
"Journey91","91.0","Wandering","2738.0","3.0","ErzGebirge","Car","21.0","June","ThreeStars","Hotel Am Fichtelberg, Erz Gebirge"
"Journey92","92.0","Recreation","1828.0","3.0","ErzGebirge","Car","14.0","September","ThreeStars","Sporthotel, Erz Gebirge"
"Journey93","93.0","Recreation","918.0","2.0","ErzGebirge","Car","7.0","May","ThreeStars","Sporthotel, Erz Gebirge"
"Journey94","94.0","Wandering","1580.0","4.0","ErzGebirge","Train","7.0","August","FourStars","Kur- und Sporthotel, Erz Gebirge"
"Journey95","95.0","Wandering","958.0","2.0","ErzGebirge","Car","7.0","July","FourStars","Kur- und Sporthotel, Erz Gebirge"
"Journey96","96.0","Wandering","2385.0","3.0","ErzGebirge","Car","14.0","June","FourStars","Kur- und Sporthotel, Erz Gebirge"
"Journey97","97.0","Recreation","1372.0","3.0","ErzGebirge","Car","7.0","August","FourStars","Hotel Panorama, Erz Gebirge"
"Journey98","98.0","Recreation","2188.0","2.0","ErzGebirge","Car","14.0","September","FourStars","Hotel Panorama, Erz Gebirge"
"Journey99","99.0","Active","1098.0","2.0","ErzGebirge","Car","7.0","August","FourStars","Hotel Panorama, Erz Gebirge"
"Journey100","100.0","Recreation","478.0","2.0","Harz","Car","7.0","May","TwoStars","Hotel Brockenscheideck, Harz"
"Journey101","101.0","Wandering","948.0","2.0","Harz","Train","14.0","June","TwoStars","Hotel Brockenscheideck, Harz"
"Journey102","102.0","Recreation","1072.0","3.0","Harz","Car","7.0","July","ThreeStars","Hotel Waldfrieden, Harz"
"Journey103","103.0","Recreation","1501.0","4.0","Harz","Car","7.0","August","ThreeStars","Hotel Waldfrieden, Harz"
"Journey104","104.0","Recreation","1868.0","2.0","Harz","Car","14.0","September","ThreeStars","Hotel Waldfrieden, Harz"
"Journey105","105.0","Wandering","1172.0","3.0","Harz","Car","7.0","May","ThreeStars","Hotel Waldfrieden, Harz"
"Journey106","106.0","Recreation","1888.0","2.0","Harz","Car","7.0","June","FiveStars","Hotel Maritim, Harz"
"Journey107","107.0","Recreation","1888.0","3.0","Harz","Train","7.0","July","FiveStars","Hotel Maritim, Harz"
"Journey108","108.0","Wandering","3768.0","2.0","Harz","Car","14.0","May","FiveStars","Hotel Maritim, Harz"
"Journey109","109.0","Recreation","484.0","2.0","Harz","Car","7.0","August","HolidayFlat","H.Flat Harz"
"Journey110","110.0","Recreation","374.0","4.0","Harz","Car","7.0","September","HolidayFlat","H.Flat Harz"
"Journey111","111.0","Recreation","589.0","3.0","Harz","Car","7.0","June","HolidayFlat","H.Flat Harz"
"Journey112","112.0","Wandering","719.0","4.0","Harz","Train","7.0","July","HolidayFlat","H.Flat Harz"
"Journey113","113.0","Wandering","1248.0","4.0","Harz","Car","14.0","August","HolidayFlat","H.Flat Harz"
"Journey114","114.0","Bathing","398.0","2.0","NorthSea","Car","7.0","July","OneStar","Pension Murra, North Sea"
"Journey115","115.0","Recreation","398.0","2.0","NorthSea","Car","7.0","June","OneStar","Pension Murra, North Sea"
"Journey116","116.0","Bathing","1348.0","3.0","NorthSea","Car","7.0","July","TwoStars","Pension Nina, North Sea"
"Journey117","117.0","Bathing","1348.0","2.0","NorthSea","Car","7.0","August","TwoStars","Pension Nina, North Sea"
"Journey118","118.0","Recreation","3228.0","2.0","NorthSea","Car","14.0","May","TwoStars","Hotel Silbermoeve, North Sea"
"Journey119","119.0","Recreation","1618.0","2.0","NorthSea","Train","7.0","September","TwoStars","Hotel Silbermoeve, North Sea"
"Journey120","120.0","Bathing","719.0","4.0","NorthSea","Car","7.0","August","HolidayFlat","H.Flat North Sea"
"Journey121","121.0","Bathing","669.0","6.0","NorthSea","Car","7.0","July","HolidayFlat","H.Flat North Sea"
"Journey122","122.0","Bathing","2108.0","4.0","NorthSea","Car","14.0","August","HolidayFlat","H.Flat North Sea"
"Journey123","123.0","Recreation","579.0","4.0","NorthSea","Train","7.0","June","HolidayFlat","H.Flat North Sea"
"Journey124","124.0","Recreation","664.0","5.0","NorthSea","Car","7.0","July","HolidayFlat","H.Flat North Sea"
"Journey125","125.0","Recreation","1138.0","4.0","NorthSea","Car","14.0","August","HolidayFlat","H.Flat North Sea"
"Journey126","126.0","Active","2198.0","3.0","NorthSea","Car","14.0","September","HolidayFlat","H.Flat North Sea"
"Journey127","127.0","Recreation","1044.0","6.0","NorthSea","Train","7.0","June","HolidayFlat","H.Flat North Sea"
"Journey128","128.0","Active","719.0","3.0","NorthSea","Car","7.0","August","HolidayFlat","H.Flat Sylt"
"Journey129","129.0","Bathing","1828.0","2.0","BalticSea","Car","14.0","July","TwoStars","Hotel Stoertebeker, Zingst"
"Journey130","130.0","Bathing","918.0","3.0","BalticSea","Car","7.0","August","TwoStars","Hotel Stoertebeker, Zingst"
"Journey131","131.0","Recreation","918.0","2.0","BalticSea","Car","7.0","June","TwoStars","Hotel Am Leuchtturm, Warnemuende"
"Journey132","132.0","Recreation","1147.0","3.0","BalticSea","Train","7.0","September","TwoStars","Hotel Am Leuchtturm, Warnemuende"
"Journey133","133.0","Bathing","1047.0","3.0","BalticSea","Car","7.0","July","ThreeStars","Hotel Baltic, Usedom"
"Journey134","134.0","Bathing","2472.0","4.0","BalticSea","Car","14.0","August","ThreeStars","Hotel Baltic, Usedom"
"Journey135","135.0","Recreation","2226.0","3.0","BalticSea","Car","14.0","June","ThreeStars","NobisHotel, Ruegen"
"Journey136","136.0","Bathing","1438.0","2.0","BalticSea","Car","7.0","August","FourStars","Ostseehotel, Wustrow"
"Journey137","137.0","Active","1797.0","3.0","BalticSea","Car","7.0","July","FourStars","Ostseehotel, Wustrow"
"Journey138","138.0","Bathing","1044.0","4.0","BalticSea","Train","7.0","August","HolidayFlat","H.Flat Baltic Sea"
"Journey139","139.0","Bathing","639.0","2.0","BalticSea","Car","7.0","August","HolidayFlat","H.Flat Fehmarn"
"Journey140","140.0","Bathing","1818.0","2.0","BalticSea","Car","14.0","July","HolidayFlat","H.Flat, Ruegen"
"Journey141","141.0","Recreation","539.0","4.0","BalticSea","Car","7.0","June","HolidayFlat","H.Flat Baltic Sea"
"Journey142","142.0","Recreation","709.0","6.0","BalticSea","Car","7.0","May","HolidayFlat","H.Flat Baltic Sea"
"Journey143","143.0","Active","994.0","4.0","BalticSea","Train","14.0","July","HolidayFlat","H.Flat Baltic Sea"
"Journey144","144.0","Wandering","547.0","3.0","BlackForest","Car","7.0","May","TwoStars","Hotel Hirschen, Black Forest"
"Journey145","145.0","Recreation","868.0","2.0","BlackForest","Car","14.0","June","TwoStars","Hotel Hirschen, Black Forest"
"Journey146","146.0","Wandering","907.0","3.0","BlackForest","Car","7.0","July","ThreeStars","Hotel Waldwinkel, Black Forest"
"Journey147","147.0","Wandering","698.0","2.0","BlackForest","Car","14.0","August","ThreeStars","Hotel Waldwinkel, Black Forest"
"Journey148","148.0","Wandering","738.0","2.0","BlackForest","Train","7.0","September","ThreeStars","Berghotel Kandel, Black Forest"
"Journey149","149.0","Recreation","922.0","3.0","BlackForest","Car","7.0","August","ThreeStars","Berghotel Kandel, Black Forest"
"Journey150","150.0","Wandering","3732.0","4.0","BlackForest","Car","14.0","July","FourStars","Kurhotel, Black Forest"
"Journey151","151.0","Recreation","1138.0","2.0","BlackForest","Car","7.0","June","FourStars","Kurhotel, Black Forest"
"Journey152","152.0","Wandering","449.0","2.0","BlackForest","Train","7.0","May","HolidayFlat","H.Flat Black Forest"
"Journey153","153.0","Wandering","459.0","5.0","BlackForest","Car","7.0","June","HolidayFlat","H.Flat Black Forest"
"Journey154","154.0","Wandering","1039.0","3.0","BlackForest","Car","7.0","July","HolidayFlat","H.Flat Black Forest"
"Journey155","155.0","Wandering","2538.0","3.0","BlackForest","Car","14.0","August","HolidayFlat","H.Flat Black Forest"
"Journey156","156.0","Recreation","1313.0","2.0","BlackForest","Car","14.0","September","HolidayFlat","H.Flat Black Forest"
"Journey157","157.0","Recreation","904.0","6.0","BlackForest","Car","7.0","October","HolidayFlat","H.Flat Black Forest"
"Journey158","158.0","Recreation","984.0","7.0","BlackForest","Train","7.0","July","HolidayFlat","H.Flat Black Forest"
"Journey159","159.0","Recreation","638.0","2.0","Thuringia","Car","7.0","May","ThreeStars","Berghotel Oberhof, Thuringia"
"Journey160","160.0","Recreation","922.0","3.0","Thuringia","Car","7.0","August","ThreeStars","Berghotel Oberhof, Thuringia"
"Journey161","161.0","Active","998.0","2.0","Thuringia","Car","7.0","June","ThreeStars","Hotel Finsterbergen, Thuringia"
"Journey162","162.0","Wandering","2588.0","3.0","Thuringia","Car","14.0","July","ThreeStars","Hotel Finsterbergen, Thuringia"
"Journey163","163.0","Wandering","1377.0","4.0","Thuringia","Train","7.0","August","FourStars","Hotel Rennsteig, Thuringia"
"Journey164","164.0","Recreation","918.0","2.0","Thuringia","Car","7.0","September","FourStars","Hotel Rennsteig, Thuringia"
"Journey165","165.0","Active","2285.0","3.0","Thuringia","Car","14.0","August","FourStars","Hotel Rennsteig, Thuringia"
"Journey166","166.0","Recreation","2668.0","2.0","Thuringia","Car","14.0","October","FourStars","Hotel Panorama, Thuringia"
"Journey167","167.0","Active","1497.0","3.0","Thuringia","Car","7.0","August","FourStars","Hotel Panorama, Thuringia"
"Journey168","168.0","Active","2388.0","3.0","Thuringia","Car","14.0","August","FourStars","Hotel Panorama, Thuringia"
"Journey169","169.0","Recreation","589.0","4.0","Thuringia","Car","7.0","July","HolidayFlat","H.Flat Thuringia"
"Journey170","170.0","Recreation","1128.0","4.0","Thuringia","Train","14.0","June","HolidayFlat","H.Flat Thuringia"
"Journey171","171.0","Recreation","589.0","4.0","Thuringia","Car","7.0","May","HolidayFlat","H.Flat Thuringia"
"Journey172","172.0","Recreation","1148.0","4.0","Thuringia","Car","14.0","July","HolidayFlat","H.Flat Thuringia"
"Journey173","173.0","Wandering","574.0","4.0","Thuringia","Car","7.0","August","HolidayFlat","H.Flat Thuringia"
"Journey174","174.0","Bathing","858.0","4.0","Atlantic","Car","14.0","May","HolidayFlat","H.Flat Atlantik, France"
"Journey175","175.0","Bathing","2078.0","4.0","Atlantic","Car","14.0","June","HolidayFlat","H.Flat Atlantik, France"
"Journey176","176.0","Bathing","4718.0","7.0","Atlantic","Car","14.0","July","HolidayFlat","H.Flat Atlantik, France"
"Journey177","177.0","Bathing","1698.0","4.0","Atlantic","Car","14.0","August","HolidayFlat","H.Flat Atlantik, France"
"Journey178","178.0","Bathing","649.0","6.0","Atlantic","Car","7.0","September","HolidayFlat","H.Flat Atlantik, France"
"Journey179","179.0","Bathing","394.0","3.0","Atlantic","Car","7.0","June","HolidayFlat","H.Flat Atlantik, France"
"Journey180","180.0","Bathing","1289.0","5.0","Atlantic","Car","7.0","July","HolidayFlat","H.Flat Atlantik, France"
"Journey181","181.0","Bathing","879.0","4.0","Atlantic","Car","7.0","August","HolidayFlat","H.Flat Atlantik, France"
"Journey182","182.0","Bathing","1347.0","3.0","Atlantic","Car","21.0","May","HolidayFlat","H.Flat Atlantik, France"
"Journey183","183.0","Active","838.0","5.0","Atlantic","Car","14.0","June","HolidayFlat","H.Flat Atlantik, France"
"Journey184","184.0","Active","1938.0","6.0","Atlantic","Car","14.0","July","HolidayFlat","H.Flat Atlantik, France"
"Journey185","185.0","Active","849.0","6.0","Atlantic","Car","7.0","August","HolidayFlat","H.Flat Atlantik, France"
"Journey186","186.0","Active","1204.0","8.0","Atlantic","Car","7.0","June","HolidayFlat","H.Flat Atlantik, France"
"Journey187","187.0","Recreation","2878.0","8.0","Atlantic","Car","14.0","July","HolidayFlat","H.Flat Atlantik, France"
"Journey188","188.0","Recreation","2187.0","2.0","Atlantic","Car","21.0","August","HolidayFlat","H.Flat Atlantik, France"
"Journey189","189.0","Bathing","519.0","2.0","CotedAzur","Car","7.0","April","HolidayFlat","H.Flat Cote d'Azur"
"Journey190","190.0","Bathing","479.0","3.0","CotedAzur","Car","7.0","May","HolidayFlat","H.Flat Cote d'Azur"
"Journey191","191.0","Bathing","829.0","7.0","CotedAzur","Car","7.0","June","HolidayFlat","H.Flat Cote d'Azur"
"Journey192","192.0","Bathing","1089.0","5.0","CotedAzur","Car","7.0","July","HolidayFlat","H.Flat Cote d'Azur"
"Journey193","193.0","Bathing","1029.0","5.0","CotedAzur","Car","7.0","August","HolidayFlat","H.Flat Cote d'Azur"
"Journey194","194.0","Bathing","799.0","6.0","CotedAzur","Car","7.0","September","HolidayFlat","H.Flat Cote d'Azur"
"Journey195","195.0","Bathing","449.0","4.0","CotedAzur","Train","7.0","October","HolidayFlat","H.Flat Cote d'Azur"
"Journey196","196.0","Bathing","1198.0","4.0","CotedAzur","Car","14.0","May","HolidayFlat","H.Flat Cote d'Azur"
"Journey197","197.0","Bathing","1108.0","4.0","CotedAzur","Train","14.0","June","HolidayFlat","H.Flat Cote d'Azur"
"Journey198","198.0","Bathing","4458.0","7.0","CotedAzur","Car","14.0","July","HolidayFlat","H.Flat Cote d'Azur"
"Journey199","199.0","Active","2678.0","3.0","CotedAzur","Car","14.0","August","HolidayFlat","H.Flat Cote d'Azur"
"Journey200","200.0","Active","1598.0","4.0","CotedAzur","Car","14.0","September","HolidayFlat","H.Flat Cote d'Azur"
"Journey201","201.0","Active","589.0","6.0","CotedAzur","Car","7.0","May","HolidayFlat","H.Flat Cote d'Azur"
"Journey202","202.0","Recreation","449.0","2.0","CotedAzur","Train","7.0","June","HolidayFlat","H.Flat Cote d'Azur"
"Journey203","203.0","Recreation","1838.0","3.0","CotedAzur","Car","14.0","July","HolidayFlat","H.Flat Cote d'Azur"
"Journey204","204.0","Bathing","1539.0","2.0","Corsica","Plane","14.0","May","OneStar","Caravan La Pinede"
"Journey205","205.0","Bathing","2469.0","3.0","Corsica","Plane","14.0","June","OneStar","Hotel L'Esquinade"
"Journey206","206.0","Bathing","5269.0","4.0","Corsica","Plane","14.0","July","TwoStars","Feriendorf Vallicella"
"Journey207","207.0","Bathing","2249.0","3.0","Corsica","Plane","21.0","June","TwoStars","Mobilhomes La Pinede"
"Journey208","208.0","Bathing","1898.0","2.0","Corsica","Plane","7.0","August","TwoStars","Hotel Funtana Marina"
"Journey209","209.0","Bathing","3522.0","4.0","Corsica","Plane","7.0","July","TwoStars","Feriendorf Vallicella"
"Journey210","210.0","Bathing","3459.0","3.0","Corsica","Plane","14.0","August","ThreeStars","Calvi-Hotel"
"Journey211","211.0","Bathing","2539.0","2.0","Corsica","Plane","14.0","September","ThreeStars","Studios Le Rocher"
"Journey212","212.0","Bathing","5659.0","3.0","Corsica","Plane","21.0","July","ThreeStars","Hotel Pineto"
"Journey213","213.0","Bathing","3298.0","2.0","Corsica","Plane","14.0","June","ThreeStars","Hotel Orizonte"
"Journey214","214.0","Active","2718.0","2.0","Corsica","Plane","14.0","September","ThreeStars","Grand Hotel"
"Journey215","215.0","Active","5678.0","3.0","Corsica","Plane","21.0","August","ThreeStars","Grand Hotel"
"Journey216","216.0","Active","2038.0","2.0","Corsica","Plane","14.0","June","TwoStars","Mobilhomes La Pinede"
"Journey217","217.0","Wandering","634.0","1.0","Corsica","Plane","7.0","April","TwoStars","Mobilhomes La Pinede"
"Journey218","218.0","Wandering","2578.0","2.0","Corsica","Plane","14.0","May","ThreeStars","Grand Hotel"
"Journey219","219.0","Bathing","659.0","4.0","Normandy","Car","7.0","June","HolidayFlat","H.Flat Normandy"
"Journey220","220.0","Bathing","709.0","2.0","Normandy","Car","7.0","July","HolidayFlat","H.Flat Normandy"
"Journey221","221.0","Active","809.0","4.0","Normandy","Car","7.0","August","HolidayFlat","H.Flat Normandy"
"Journey222","222.0","Active","1418.0","2.0","Normandy","Car","14.0","August","HolidayFlat","H.Flat Normandy"
"Journey223","223.0","Recreation","1618.0","4.0","Normandy","Car","14.0","July","HolidayFlat","H.Flat Normandy"
"Journey224","224.0","Bathing","689.0","4.0","Brittany","Car","7.0","June","HolidayFlat","H.Flat Brittany"
"Journey225","225.0","Bathing","1549.0","7.0","Brittany","Car","7.0","July","HolidayFlat","H.Flat Brittany"
"Journey226","226.0","Bathing","1064.0","5.0","Brittany","Car","7.0","August","HolidayFlat","H.Flat Brittany"
"Journey227","227.0","Bathing","519.0","4.0","Brittany","Car","7.0","September","HolidayFlat","H.Flat Brittany"
"Journey228","228.0","Active","1219.0","6.0","Brittany","Car","7.0","August","HolidayFlat","H.Flat Brittany"
"Journey229","229.0","Active","889.0","4.0","Brittany","Car","7.0","July","HolidayFlat","H.Flat Brittany"
"Journey230","230.0","Active","1268.0","4.0","Brittany","Car","14.0","June","HolidayFlat","H.Flat Brittany"
